Client Name,Measurement No.,Reporting Year End Date,# Sites,# Employees,Total Goods and Services Spend,Sector / Industry,Type of Footprint,Scope 1 total KGCO2e,Scope 2 total KGCO2e,Scope 3 total KGCO2e,Stationary Combustion,Mobile Combustion,Fugitive Emissions,Process Emissions,Purchased Electricity,"Purchased Steam, Heat & Cooling",Purchased Goods & Services,Capital Goods,Fuel & Energy Related Activities,Transportation & Distribution,Operational Waste,Business Travel,Employee Commuting & Home Working,Leased Assets,Transportation & Distribution DOWNSTREAM,Processing of Sold Products,Use of Sold Products,End-Of-Life Treatment of Sold Products,Leased Assets .,Franchises,Investments,Total Electricity Consumption (KgCO2e),Renewable Energy (%),Renewable Energy (KgCO2e),EV Employee Commute (KgCO2e),WFH,All other Commute ,Total Footprint (tCO2e),Employee C intensity (tCO2e)
Clinton Devon Estates,1,,-,-,,Agriculture; plantations;other rural sectors,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Groundskeeping Ltd,1,30/6/22,0,1,5570.00,Agriculture; plantations;other rural sectors,Full,0.00,0.00,4678.00,0.00,0.00,0.00,0.00,0.00,0.00,3176.00,485.00,0.00,0.00,0.00,1017.00,0.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,0.00,0.00,4.68,4.68
Corbett,1,31/12,1,80,1676722.00,Basic Metal Production,Full,2423317.00,52051.00,6380133.00,1485697.00,932400.00,5220.00,0.00,52051.00,0.00,5858658.00,66403.00,17676.00,89172.00,106580.00,1094.00,240550.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208203.00,75.00,156152.00,0.00,0.00,240550.00,8855.50,110.69
Cutwel,1,30/04/22,1,92,1121920.00,Commerce / Retail,Full,39633.00,19081.00,1256384.00,25503.00,12733.00,1397.00,0.00,19081.00,0.00,264988.00,114251.00,3530.00,749354.00,1494.00,209.00,86954.00,-,35604.00,-,-,-,-,-,-,38163.00,50.00,19081.00,0.00,2742.00,84212.00,1315.10,14.29
Dining Club / Ello Group,1,31/12/21,-,-,2850717.00,Commerce / Retail,Full,18213.00,21492.00,1050674.00,18213.00,0.00,0.00,0.00,21492.00,0.00,775509.00,84113.00,6084.00,256.00,1375.00,0.00,183337.00,,0.00,,,,,,,21492.00,0.00,0.00,0.00,40230.00,143107.00,1090.38,#VALUE!
Mind Body Goals,1,31/12/21,-,-,11695.00,Commerce / Retail,Full,0.00,0.00,11620.00,0.00,0.00,0.00,0.00,0.00,0.00,2775.00,8347.00,40.00,0.00,0.00,75.00,383.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,383.00,0.00,11.62,#VALUE!
Move Online Retail,1,31/12/21,1,37,,Commerce / Retail,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Paper Graphics,,,-,-,1931978.00,Commerce / Retail,Full,56003.00,25743.00,2250780.00,56003.00,0.00,0.00,0.00,25743.00,0.00,504023.00,0.00,5492.00,1444718.00,4660.00,204717.00,80250.00,,6920.00,,,,,,,58506.00,56.00,32763.00,0.00,4958.00,75292.00,2332.53,#VALUE!
Paul Smith,,,-,-,,Commerce / Retail,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Big Partnership,1,31/05/21,-,-,868696.00,Financial services; professional services,PPN,1264.00,0.00,234343.00,1153.00,111.00,0.00,0.00,0.00,0.00,174280.00,1770.00,0.00,0.00,0.00,419.00,57874.00,,0.00,,,,,,,,#DIV/0!,,,,,235.61,#VALUE!
Blue Sky Design,1,31/12/21,-,-,97788.00,Construction,PPN,3278.00,624.00,46366.00,3278.00,0.00,0.00,0.00,624.00,0.00,25533.00,0.00,0.00,0.00,92.00,172.00,20569.00,,0.00,,,,,,,5010.00,87.54,4386.00,0.00,285.00,20284.00,50.27,#VALUE!
Project Group FFE,1,31/12/21,3,115,1527989.00,Commerce / Retail,Full,89365.00,12578.00,951939.00,23675.00,65690.00,0.00,0.00,12578.00,0.00,376737.00,0.00,3114.00,80386.00,125.00,70828.00,142808.00,-,277941.00,-,-,-,-,-,-,20963.00,40.00,8385.00,0.00,12605.00,130203.00,1053.88,9.16
Silverline,1,31/12/21,2,105,8005015.00,Commerce / Retail,Full,794822.00,297386.00,8123663.00,740634.00,54188.00,0.00,0.00,297386.00,0.00,6010625.00,122312.00,45805.00,1379007.00,1352.00,8641.00,81803.00,-,474118.00,-,-,-,-,-,-,438070.00,32.11,140684.00,81354.00,,449.00,9215.87,87.77
Sumillion,,,-,-,155007.00,Commerce / Retail,Full,369.00,0.00,126013.00,0.00,369.00,0.00,0.00,0.00,0.00,31642.00,88208.00,,,168.00,1295.00,4700.00,,0.00,,,,,,,4184.00,100.00,4184.00,0.00,649.00,4051.00,126.38,#VALUE!
The Storage Place,1,30/09/22,3,60,,Commerce / Retail,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Zenitel,1,31/12/20,-,-,160199.00,Commerce / Retail,Full,5763.00,2592.00,484860.00,5763.00,0.00,0.00,0.00,2592.00,0.00,309878.00,41770.00,0.00,13412.00,75.00,0.00,16177.00,,103548.00,,,,,,,5185.00,49.99,2592.00,0.00,0.00,16177.00,493.22,#VALUE!
Zenitel,2,31/12/21,2,8,185313.00,Commerce / Retail,Full,12443.00,4030.00,248424.00,5119.00,7324.00,0.00,0.00,4030.00,0.00,63009.00,91448.00,342.00,3355.00,19406.00,5597.00,8545.00,-,56722.00,-,-,-,-,-,-,4030.00,0.00,0.00,0.00,0.00,8545.00,264.90,33.11
Admiral Scaffolding,1,31/12/21,-,-,1942406.00,Construction,Full,59347.00,6953.00,1817756.00,0.00,59347.00,0.00,0.00,6953.00,0.00,1744095.00,45280.00,868.00,1729.00,1240.00,0.00,24544.00,,0.00,,,,,,,-,#VALUE!,-,,,,1884.06,#VALUE!
Blue Sky Design,2,31/04/22,1,5,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Bowman Riley,1,31/03/22,3,70,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Bray & Slaughter,1,31/3/22,1,13,193439.00,Construction,Full,7912.00,4936.00,80736.00,681.00,7231.00,0.00,0.00,4936.00,0.00,49059.00,2320.00,722.00,6131.00,207.00,14920.00,7309.00,-,68.00,-,-,-,-,-,-,7686.00,40.01,3075.00,0.00,0.00,7309.00,93.58,7.20
C.P. Hart,1,31/12/21,15,200,3405900.00,Construction,Full,181877.00,111429.00,1676167.00,52670.00,129207.00,0.00,0.00,111429.00,0.00,931178.00,158859.00,15189.00,19804.00,23112.00,20205.00,190068.00,0.00,317752.00,0.00,0.00,0.00,0.00,0.00,0.00,178908.00,377.11,674678.00,0.00,8358.00,181683.00,1969.47,9.85
City Concepts,1,,-,-,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Dudley Smith,1,31/12/21,-,-,97329.00,Construction,Full,2976.00,0.00,51330.00,2976.00,0.00,0.00,0.00,0.00,0.00,26786.00,0.00,0.00,0.00,5342.00,9652.00,9550.00,,0.00,,,,,,,2635.00,100.00,2635.00,0.00,1626.00,7923.00,54.31,#VALUE!
Elysium,,,-,-,753388.00,Construction,Full,35976.00,0.00,418161.00,0.00,35976.00,0.00,0.00,0.00,0.00,144837.00,254122.00,0.00,0.00,0.00,5961.00,13241.00,,,,,,,,,0.00,#DIV/0!,0.00,0.00,145.00,13096.00,454.14,#VALUE!
Greenwood Group,1,31/12/21,7,100,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Lazenby,1,30/06/22,2,60,4735146.00,Construction,Full,121207.00,5375.00,6618290.00,333.00,120874.00,0.00,0.00,5375.00,0.00,6291098.00,34265.00,935.00,22361.00,7331.00,126729.00,129540.00,-,6031.00,-,-,-,-,-,-,10750.00,50.00,5375.00,840.00,0.00,128488.00,6744.87,112.41
Litecast,,,-,-,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Midwest Plant,1,31/12/21,1,25,0.00,Construction,Full,810569.00,1643.00,62583.00,0.00,810569.00,0.00,0.00,1643.00,0.00,0.00,0.00,428.00,33313.00,1050.00,0.00,27792.00,-,0.00,-,-,-,-,-,-,3651.00,55.00,2008.00,,1118.00,26675.00,874.80,34.99
Equity Solutions,1,31/12/21,-,-,,Financial services; professional services,PPN,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Norr Group UK,1,30/09/21,4,125,,Construction,Full,45931.00,61521.00,258784.00,40882.00,5049.00,0.00,0.00,61521.00,0.00,171201.00,15042.00,0.00,0.00,1001.00,5107.00,66433.00,,0.00,,,,,,,102486.00,39.97,40965.00,0.00,66433.00,0.00,366.24,2.93
Oxford Architects,1,31/12/21,2,32,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
PRB Systems,1,31/03/22,1,9,127323.00,Construction,Full,24638.00,0.00,65488.00,0.00,24638.00,0.00,0.00,0.00,0.00,28053.00,0.00,98.00,0.00,106.00,8063.00,29168.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,0.00,28238.00,90.13,10.01
PRC Group,1,31/08/21,2,39,,Construction,Full,6212.00,9171.00,291118.00,6212.00,0.00,0.00,0.00,9171.00,0.00,253701.00,20679.00,1330.00,0.00,555.00,8521.00,6332.00,,0.00,,,,,,,,#DIV/0!,,,,,306.50,7.86
Raaft,1,31/12/21,-,-,260864.00,Construction,Full,37211.00,15136.00,1466792.00,0.00,34829.00,0.00,2382.00,15136.00,0.00,777080.00,599600.00,2979.00,2358.00,0.00,5071.00,46697.00,0.00,33007.00,0.00,0.00,0.00,0.00,0.00,0.00,25226.00,40.00,10090.00,0.00,8035.00,38662.00,1519.14,#VALUE!
S&I Groundworks,,,-,-,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Wilkinson Eyre,1,31/03/22,-,150,,Construction,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Dreadnought,1,31/12/20,-,-,10766.00,Education,Full,2790.00,2022.00,19921.00,2790.00,0.00,0.00,0.00,2022.00,0.00,5218.00,0.00,0.00,0.00,85.00,9031.00,5557.00,,30.00,-,-,-,-,-,-,2022.00,92.19,1864.00,0.00,0.00,5557.00,24.73,#VALUE!
Dreadnought,2,31/03/21,1,8,17759.00,Education,Full,5406.00,-1527.00,15086.00,5406.00,0.00,0.00,0.00,-1527.00,0.00,7010.00,381.00,23.00,0.00,1088.00,1817.00,4767.00,-,0.00,-,-,-,-,-,-,-826.00,-84.75,700.00,0.00,880.00,3887.00,18.97,2.37
eLife Science,1,31/12/19,-,-,476651.00,Education,Full,0.00,7764.00,238850.00,0.00,0.00,0.00,0.00,7764.00,0.00,99820.00,44000.00,0.00,0.00,0.00,52220.00,42810.00,,0.00,,,,,,,7764.00,15.67,1217.00,0.00,2164.00,40646.00,246.61,#VALUE!
eLife Science,2,31/12/20,-,-,472719.00,Education,Full,0.00,6520.00,144720.00,0.00,0.00,0.00,0.00,6520.00,0.00,97610.00,9070.00,0.00,0.00,0.00,10990.00,27050.00,,0.00,,,,,,,6517.00,15.67,1021.00,0.00,11038.00,27047.00,151.24,#VALUE!
eLife Science,3,31/12/21,1,51,358776.00,Education,Full,0.00,4832.00,107828.00,0.00,0.00,0.00,0.00,4832.00,0.00,60995.00,5482.00,3891.00,0.00,0.00,2307.00,35090.00,-,63.00,-,-,-,-,-,-,6903.00,29.99,2070.00,0.00,31214.00,3875.00,112.66,2.21
LJMU,,,-,-,,Education,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Novus,,,-,-,,Education,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Skillcast,1,31/12/21,2,95,,Education,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
4Sight,1,31/12/21,1,31,30434.00,Financial services; professional services,Full,0.00,1714.00,68656.00,0.00,0.00,0.00,0.00,1714.00,0.00,30434.00,11031.00,291.00,0.00,5.00,6463.00,20432.00,-,0.00,-,-,-,-,-,-,-,#VALUE!,-,,,,70.37,2.27
ACC Aviation,1,31/12/21,4,42,259628.00,Financial services; professional services,Full,0.00,0.00,439727.00,0.00,0.00,0.00,0.00,0.00,0.00,259628.00,15148.00,1301.00,0.00,788.00,71344.00,91518.00,,,,,,,,,36379.00,50.00,18189.00,-,0.00,50080.00,439.73,10.47
Advice Cloud,1,31/12/21,-,-,185597.00,Financial services; professional services,Full,111.00,0.00,42793.00,0.00,111.00,0.00,0.00,0.00,0.00,33747.00,3564.00,0.00,0.00,0.00,715.00,4767.00,,0.00,,,,,,,1074.00,50.00,537.00,-,-,5917.00,42.90,#VALUE!
Arrow Services,1,31/12/21,-,-,697487.00,Financial services; professional services,Full,132464.00,7668.00,551062.00,1025.00,131432.00,7.00,0.00,7668.00,0.00,449046.00,91670.00,852.00,0.00,317.00,0.00,9177.00,,0.00,,,,,,,885.00,31.86,282.00,0.00,1592.00,321.00,691.19,#VALUE!
ASM Technologies,1,31/12/21,2,75,702193.00,Financial services; professional services,Full,197.00,18189.00,227872.00,35.00,162.00,0.00,0.00,18189.00,0.00,167915.00,0.00,3089.00,0.00,5540.00,1248.00,50080.00,-,0.00,-,-,-,-,-,-,101758.00,40.00,40703.00,641.00,10269.00,52631.00,246.26,3.28
Avantia,1,31/12/21,1,82,3012192.00,Financial services; professional services,Full,345600.00,16236.00,953987.00,209750.00,0.00,135850.00,0.00,16236.00,0.00,723045.00,148870.00,6339.00,0.00,1539.00,4726.00,69468.00,-,0.00,-,-,-,-,-,-,6168.00,40.00,2467.00,,,,1315.82,16.05
Barkers Commercial,1,31/12/21,-,-,401574.00,Financial services; professional services,Full,0.00,885.00,87250.00,0.00,0.00,0.00,0.00,885.00,0.00,78646.00,0.00,256.00,0.00,10.00,6425.00,1913.00,,0.00,,,,,,,,#DIV/0!,,,,,88.14,#VALUE!
Block Living,1,31/12/21,1,2,18812.00,Financial services; professional services,Full,0.00,6942.00,6733.00,0.00,0.00,0.00,0.00,6942.00,0.00,3869.00,0.00,2215.00,649.00,0.00,0.00,0.00,-,0.00,-,-,-,-,-,-,26088.00,73.39,19146.00,0.00,0.00,0.00,13.68,6.84
Boden Group,1,31/12/21,3,55,13232215.00,Financial services; professional services,Full,285430.78,9765.75,5334985.70,4507.89,280922.89,0.00,0.00,9765.75,0.00,5052662.70,248.03,1545.56,248753.99,175.16,11547.55,20052.71,-,0.00,-,-,-,-,-,-,16032.29,39.09,6267.00,0.00,4398.00,15654.00,5630.18,102.37
Brunsdon Financial,1,31/12/21,1,52,792895.00,Financial services; professional services,Full,84606.00,882.00,290653.00,13413.00,71193.00,0.00,0.00,882.00,0.00,199315.00,55320.00,3282.00,0.00,540.00,400.00,31796.00,-,0.00,-,-,-,-,-,-,12571.00,92.99,11690.00,5706.00,20920.00,5170.00,376.14,7.23
Canham Consulting,1,31/12/21,-,-,697363.00,Financial services; professional services,Full,9736.00,2330.00,252797.00,4530.00,5206.00,0.00,0.00,2330.00,0.00,182717.00,0.00,0.00,0.00,2146.00,4552.00,63382.00,,0.00,,,,,,,6005.00,61.20,3675.00,0.00,3521.00,59861.00,264.86,#VALUE!
Carrington,1,31/12/21,4,75,868996.00,Financial services; professional services,Full,6600.00,6481.00,408980.00,6600.00,0.00,0.00,0.00,6481.00,0.00,274439.00,122125.00,917.00,0.00,1408.00,9629.00,462.00,-,0.00,-,-,-,-,-,-,10801.00,40.01,4321.00,39.00,0.00,422.00,422.06,5.63
CC Group,1,30/06/22,1,43,736082.00,Financial services; professional services,Full,67860.00,4212.00,241661.00,0.00,0.00,67860.00,0.00,4212.00,0.00,164128.00,20778.00,155.00,1419.00,410.00,27797.00,25392.00,-,1582.00,-,-,-,-,-,-,7021.00,39.99,2808.00,0.00,16675.00,8717.00,313.73,7.30
Choice Fire & Security Solutions,1,31/12/21,2,42,607242.00,Financial services; professional services,Full,193923.00,0.00,321912.00,7372.00,186551.00,0.00,0.00,0.00,0.00,150038.00,2767.00,397.00,38014.00,1205.00,11298.00,59912.00,-,58281.00,-,-,-,-,-,-,4678.00,100.00,4678.00,0.00,0.00,59912.00,515.84,12.28
Choice Insurance Agency,1,31/12/21,1,10,163353.00,Financial services; professional services,Full,0.00,0.00,44577.00,0.00,0.00,0.00,0.00,0.00,0.00,40531.00,0.00,0.00,0.00,0.00,0.00,4046.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,325.00,0.00,3722.00,44.58,4.46
Chroma Vision,1,31/12/21,2,50,470176.00,Financial services; professional services,Full,141417.00,2771.00,370808.00,4133.00,131323.00,5961.00,0.00,2771.00,0.00,95511.00,3481.00,470.00,11267.00,86247.00,127760.00,46072.00,-,0.00,-,-,-,-,-,-,5541.00,50.01,2771.00,0.00,0.00,46072.00,515.00,10.30
Crime and Fire Defence,1,,-,-,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Derwent FM,1,31/03/22,20,220,1764700.00,Financial services; professional services,Full,64151.00,61864.00,1227555.00,553.00,63598.00,0.00,0.00,61864.00,0.00,596584.00,5504.00,11501.00,0.00,4129.00,47314.00,562523.00,-,0.00,-,-,-,-,-,-,103107.00,40.00,41243.00,4386.00,25948.00,432189.00,1353.57,6.15
Domo Tactical Communications,1,30/06/22,1,115,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Empire Group,1,31/12/21,1,135,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Ethical Services Group,1,31/12/21,-,-,1220700.00,Financial services; professional services,Full,0.00,0.00,218640.00,,,,,,,209600.00,820.00,0.00,0.00,0.00,0.00,8220.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,1433.00,6782.00,218.64,#VALUE!
Rossi Long,1,31/12/19,-,-,23300.00,Mechanical and electrical engineering,PPN,0.00,5096.00,93648.00,0.00,0.00,0.00,0.00,5096.00,0.00,13637.00,29199.00,0.00,0.00,369.00,10598.00,39845.00,,0.00,,,,,,,10191.00,50.00,5096.00,0.00,420.00,39425.00,98.74,#VALUE!
Rossi Long,2,31/12/20,-,-,19700.00,Mechanical and electrical engineering,PPN,0.00,0.00,41153.00,0.00,0.00,0.00,0.00,0.00,0.00,10224.00,1961.00,0.00,0.00,129.00,7780.00,21059.00,,0.00,,,,,,,7733.00,100.00,7733.00,0.00,7678.00,13382.00,41.15,#VALUE!
FIDIC,1,31/12/19,2,15,2343634.00,Financial services; professional services,Full,3918.00,35.00,977087.00,3918.00,0.00,0.00,0.00,35.00,0.00,804446.00,2368.00,7.00,0.00,282.00,99293.00,34461.00,-,36230.00,-,-,-,-,-,-,86.00,60.47,52.00,1006.00,0.00,33456.00,981.04,65.40
FIDIC,2,31/12/20,2,15,1909987.00,Financial services; professional services,Full,3918.00,35.00,606949.00,3918.00,0.00,0.00,0.00,35.00,0.00,525963.00,12755.00,7.00,0.00,282.00,25167.00,6545.00,-,36230.00,-,-,-,-,-,-,86.00,60.47,52.00,700.00,0.00,5844.00,610.90,40.73
FIDIC,3,31/12/21,2,15,1743987.00,Financial services; professional services,Full,3918.00,35.00,538467.00,3918.00,0.00,0.00,0.00,35.00,0.00,468042.00,13400.00,7.00,0.00,282.00,13756.00,6750.00,-,36230.00,-,-,-,-,-,-,86.00,60.47,52.00,560.00,0.00,6190.00,542.42,36.16
Futures for Somerset,1,31/12/21,0,8,125700.00,Financial services; professional services,,0.00,0.00,48404.00,0.00,0.00,0.00,0.00,0.00,0.00,22696.00,3590.00,357.00,0.00,0.00,15800.00,5961.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,3372.00,2589.00,48.40,6.05
Generation UK,1,31/12/21,-,-,93641.00,Financial services; professional services,Full,0.00,0.00,144264.00,0.00,0.00,0.00,0.00,0.00,0.00,32885.00,18805.00,0.00,0.00,0.00,3148.00,85997.00,,3429.00,,,,,,,0.00,#DIV/0!,0.00,0.00,85997.00,0.00,144.26,#VALUE!
Smart Sourcing,1,31/12/21,-,-,,Financial services; professional services,PPN,0.00,5513.00,7265.00,,,,,5513.00,,,,,,3093.00,19.00,4153.00,,,,,,,,,7719.00,28.58,2206.00,,,4153.00,12.78,#VALUE!
GP Techserv,1,31/12/21,-,-,11562.00,Financial services; professional services,Full,3833.00,0.00,32978.00,,0.00,3833.00,0.00,0.00,0.00,2457.00,29460.00,45.00,530.00,0.00,57.00,429.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,429.00,0.00,36.81,#VALUE!
Harlow Consulting,1,31/10/21,1,5,44353.00,Financial services; professional services,Full,0.00,0.00,26862.00,0.00,0.00,0.00,0.00,0.00,0.00,10604.00,3151.00,1028.00,0.00,0.00,1683.00,10396.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,,628.00,26.86,5.37
HomeMaster,1,31/08/21,-,-,10386.00,Financial services; professional services,Full,410.00,54.00,26910.00,0.00,410.00,0.00,0.00,54.00,0.00,3640.00,8730.00,0.00,0.00,60.00,2520.00,11960.00,,0.00,,,,,,,693.00,92.21,639.00,0.00,6644.00,5316.00,27.37,#VALUE!
ICP,1,31/12/21,4,200,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Illuminet Solutions,1,31/12/21,2,33,402663.00,Financial services; professional services,Full,15772.00,3444.00,180195.00,1991.00,0.00,13781.00,0.00,3444.00,0.00,110289.00,4543.00,2908.00,0.00,464.00,37111.00,24880.00,-,0.00,-,-,-,-,-,-,8837.00,61.02,5392.00,0.00,20383.00,4497.00,199.41,6.04
Insurance Manager,1,31/12/20,-,-,46359.00,Financial services; professional services,,0.00,0.00,11050.00,0.00,0.00,0.00,0.00,0.00,0.00,8250.00,1270.00,0.00,0.00,0.00,600.00,930.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,933.00,0.00,11.05,#VALUE!
James Cowper,1,30/04/22,5,200,4387279.00,Financial services; professional services,Full,94799.00,21830.00,1211676.00,0.00,0.00,94799.00,0.00,21830.00,0.00,911831.00,17869.00,3089.00,0.00,3039.00,128466.00,147382.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36383.00,40.00,14553.00,0.00,0.00,147382.00,1328.31,6.64
Kapar Asset Protection,1,31/12/21,1,20,,Financial services; professional services,Full,840.00,77.00,43759.00,0.00,840.00,0.00,0.00,0.00,77.00,12725.00,4200.00,0.00,0.00,50.00,0.00,26784.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,0.00,26784.00,44.68,2.23
Key Group,1,31/12/21,-,-,5961448.00,Financial services; professional services,Full,519634.00,26275.00,3504800.00,0.00,519634.00,0.00,0.00,26275.00,0.00,2828964.00,224005.00,2269.00,37272.00,1878.00,234932.00,175480.00,,0.00,,,,,,,26725.00,8.90,2379.00,0.00,17231.00,175480.00,4050.71,#VALUE!
Kultra Lab,1,30/06/22,1,10,1169445.00,Financial services; professional services,Full,0.00,0.00,240490.00,0.00,0.00,0.00,0.00,0.00,0.00,225893.00,0.00,277.00,0.00,0.00,10519.00,3801.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,2600.00,1202.00,240.49,24.05
Layer 7,1,31/12/21,-,-,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,#VALUE!
Meet Recruitment,1,31/12/19,3,185,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Meet Recruitment,2,31/12/21,3,185,3023301.00,Financial services; professional services,Full,0.00,259305.00,1011433.00,0.00,0.00,0.00,0.00,259305.00,0.00,868693.00,19027.00,5627.00,0.00,0.00,425.00,117661.00,-,0.00,-,-,-,-,-,-,260000.00,0.27,695.00,0.00,47203.00,70458.00,1270.74,6.87
Memiah,1,31/03/22,1,35,886035.00,Financial services; professional services,Full,0.00,986.00,232296.00,0.00,0.00,0.00,0.00,986.00,0.00,172187.00,39998.00,36.00,0.00,53.00,0.00,20022.00,-,0.00,-,-,-,-,-,-,1644.00,40.02,658.00,52.00,17359.00,2610.00,233.28,6.67
Mercia Asset Management,1,31/03/22,10,125,2629596.00,Financial services; professional services,Full,3788.00,0.00,891975.00,0.00,3788.00,0.00,0.00,0.00,0.00,625874.00,37470.00,6050.00,0.00,0.00,104491.00,118090.00,,0.00,,,,,,,0.00,#DIV/0!,0.00,0.00,57096.00,60994.00,895.76,7.17
Victim Support,1,31/12/21,-,-,,UNKNOWN,PPN,35170.00,40263.00,130651.00,35170.00,0.00,0.00,0.00,40263.00,0.00,0.00,0.00,7444.00,2375.00,2822.00,102764.00,15246.00,,0.00,,,,,,,87687.00,54.08,47424.00,0.00,0.00,15246.00,206.08,#VALUE!
Nick Kelly Design,1,31/12/21,0,1,,Financial services; professional services,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,0.00
Node Tech,1,31/12/21,1,5,157097.00,Financial services; professional services,Full,0.00,0.00,55431.00,0.00,0.00,0.00,0.00,0.00,0.00,34862.00,2880.00,0.00,1252.00,52.00,7926.00,8459.00,-,0.00,-,-,-,-,-,-,0.00,#DIV/0!,0.00,0.00,0.00,0.00,55.43,11.09
Northedge,1,31/12/21,2,39,979551.00,Financial services; professional services,Full,0.00,0.00,42737842.00,0.00,0.00,0.00,0.00,0.00,0.00,226576.00,0.00,1836.00,0.00,0.00,7082.00,43794.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42458554.00,7530.00,100.00,7530.00,0.00,11331.00,32463.00,42737.84,1095.84
OGCI,1,31/12/21,2,50,5052122.00,Financial services; professional services,Full,0.00,0.00,920819.00,0.00,0.00,0.00,0.00,0.00,0.00,705868.00,61260.00,2893.00,0.00,0.00,113875.00,27017.00,-,9906.00,-,-,-,-,-,-,4579.00,100.00,4579.00,,23654.00,3363.00,920.82,18.42
Oleeo UK,1,31/12/19,1,105,1413685.00,Financial services; professional services,Full,6718.00,0.00,545991.00,6718.00,0.00,0.00,0.00,0.00,0.00,370469.00,80609.00,9457.00,0.00,3397.00,16997.00,65062.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29923.00,100.00,29923.00,0.00,33629.00,65062.00,552.71,5.26
Oleeo UK,2,31/12/21,1,105,1714022.00,Financial services; professional services,Full,837.00,0.00,471645.00,837.00,0.00,0.00,0.00,0.00,0.00,374128.00,51302.00,8185.00,0.00,2309.00,0.00,35721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18579.00,100.00,18579.00,0.00,33064.00,2657.00,472.48,4.50
